2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Breathe - Faith Hill,Hanging by a Moment - Lifehouse,How You Remind Me - Nickelback,In da Club - 50 Cent,Yeah! - Usher featuring Lil Jon and Ludacris,We Belong Together - Mariah Carey,Bad Day - Daniel Powter,Irreplaceable - Beyoncé,Low - Flo Rida featuring T-Pain,Boom Boom Pow - The Black Eyed Peas,Tik Tok - Kesha,Rolling in the Deep - Adele,Somebody That I Used to Know - Gotye featuring Kimbra,Thrift Shop - Macklemore & Ryan Lewis featuring Wanz,Happy - Pharrell Williams,Uptown Funk - Mark Ronson featuring Bruno Mars,Love Yourself - Justin Bieber,Shape of You - Ed Sheeran,God's Plan - Drake,Old Town Road - Lil Nas X featuring Billy Ray Cyrus,Blinding Lights - The Weeknd,Levitating - Dua Lipa,Heat Waves - Glass Animals,Last Night - Morgan Wallen,Lose Control - Teddy Swims
Smooth - Santana featuring Rob Thomas,Fallin' - Alicia Keys,Foolish - Ashanti,Ignition - R. Kelly,Burn - Usher,Hollaback Girl - Gwen Stefani,Temperature - Sean Paul,Umbrella - Rihanna featuring Jay-Z,Bleeding Love - Leona Lewis,Poker Face - Lady Gaga,Need You Now - Lady Antebellum,Party Rock Anthem - LMFAO featuring Lauren Bennett and GoonRock,Call Me Maybe - Carly Rae Jepsen,Blurred Lines - Robin Thicke featuring T.I. and Pharrell Williams,Dark Horse - Katy Perry featuring Juicy J,Thinking Out Loud - Ed Sheeran,Sorry - Justin Bieber,Despacito (Remix) - Luis Fonsi and Daddy Yankee featuring Justin Bieber,Perfect - Ed Sheeran,Sunflower - Post Malone and Swae Lee,Circles - Post Malone,Save Your Tears - The Weeknd and Ariana Grande,As It Was - Harry Styles,Flowers - Miley Cyrus,A Bar Song (Tipsy) - Shaboozey
Maria Maria - Santana featuring The Product G&B,All for You - Janet Jackson,Hot in Herre - Nelly,Get Busy - Sean Paul,If I Ain't Got You - Alicia Keys,Let Me Love You - Mario,Promiscuous - Nelly Furtado featuring Timbaland,The Sweet Escape - Gwen Stefani featuring Akon,No One - Alicia Keys,Just Dance - Lady Gaga featuring Colby O'Donis,"Hey, Soul Sister - Train",Firework - Katy Perry,We Are Young - Fun featuring Janelle Monáe,Radioactive - Imagine Dragons,All of Me - John Legend,See You Again - Wiz Khalifa featuring Charlie Puth,One Dance - Drake featuring Wizkid and Kyla,That's What I Like - Bruno Mars,Meant to Be - Bebe Rexha featuring Florida Georgia Line,Without Me - Halsey,The Box - Roddy Ricch,Blinding Lights - The Weeknd,Stay - The Kid Laroi and Justin Bieber,Kill Bill - SZA,Beautiful Things - Benson Boone
I Wanna Know - Joe,Drops of Jupiter (Tell Me) - Train,Dilemma - Nelly featuring Kelly Rowland,Crazy in Love - Beyoncé featuring Jay-Z,This Love - Maroon 5,Since U Been Gone - Kelly Clarkson,You're Beautiful - James Blunt,Big Girls Don't Cry - Fergie,Lollipop - Lil Wayne featuring Static Major,I Gotta Feeling - The Black Eyed Peas,California Gurls - Katy Perry featuring Snoop Dogg,E.T. - Katy Perry featuring Kanye West,Payphone - Maroon 5 featuring Wiz Khalifa,Harlem Shake - Baauer,Fancy - Iggy Azalea featuring Charli XCX,Trap Queen - Fetty Wap,Work - Rihanna featuring Drake,Humble - Kendrick Lamar,Havana - Camila Cabello featuring Young Thug,Bad Guy - Billie Eilish,Don't Start Now - Dua Lipa,Mood - 24kGoldn featuring Iann Dior,Easy on Me - Adele,Anti-Hero - Taylor Swift,I Had Some Help - Post Malone featuring Morgan Wallen
Everything You Want - Vertical Horizon,I'm Real (Murder Remix) - Jennifer Lopez featuring Ja Rule,Wherever You Will Go - The Calling,When I'm Gone - 3 Doors Down,The Way You Move - OutKast featuring Sleepy Brown,"1, 2 Step - Ciara featuring Missy Elliott",Hips Don't Lie - Shakira featuring Wyclef Jean,Buy U a Drank (Shawty Snappin') - T-Pain featuring Yung Joc,Apologize - OneRepublic,Love Story - Taylor Swift,OMG - Usher featuring will.i.am,"Give Me Everything - Pitbull featuring Ne-Yo, Afrojack and Nayer",Lights - Ellie Goulding,Can't Hold Us - Macklemore & Ryan Lewis featuring Ray Dalton,Counting Stars - OneRepublic,Sugar - Maroon 5,Stressed Out - Twenty One Pilots,Something Just Like This - The Chainsmokers and Coldplay,Rockstar - Post Malone featuring 21 Savage,Wow - Post Malone,Rockstar - DaBaby featuring Roddy Ricch,Good 4 U - Olivia Rodrigo,Shivers - Ed Sheeran,"Creepin' - Metro Boomin, the Weeknd and 21 Savage",Lovin on Me - Jack Harlow
Say My Name - Destiny's Child,If You're Gone - Matchbox Twenty,A Thousand Miles - Vanessa Carlton,Unwell - Matchbox Twenty,The Reason - Hoobastank,Gold Digger - Kanye West featuring Jamie Foxx,Unwritten - Natasha Bedingfield,Before He Cheats - Carrie Underwood,No Air - Jordin Sparks and Chris Brown,Right Round - Flo Rida,Airplanes - B.o.B featuring Hayley Williams,Grenade - Bruno Mars,Glad You Came - The Wanted,Mirrors - Justin Timberlake,Talk Dirty - Jason Derulo featuring 2 Chainz,Shut Up and Dance - Walk the Moon,Panda - Desiigner,Bad and Boujee - Migos featuring Lil Uzi Vert,Psycho - Post Malone featuring Ty Dolla Sign,Happier - Marshmello and Bastille,Adore You - Harry Styles,Kiss Me More - Doja Cat featuring SZA,First Class - Jack Harlow,Calm Down - Rema and Selena Gomez,Not Like Us - Kendrick Lamar
I Knew I Loved You - Savage Garden,Let Me Blow Ya Mind - Eve featuring Gwen Stefani,In the End - Linkin Park,Right Thurr - Chingy,I Don't Wanna Know - Mario Winans featuring Enya and P. Diddy,Boulevard of Broken Dreams - Green Day,Crazy - Gnarls Barkley,Hey There Delilah - Plain White T's,Love Song - Sara Bareilles,I'm Yours - Jason Mraz,Love the Way You Lie - Eminem featuring Rihanna,Fuck You (Forget You) - CeeLo Green,Stronger (What Doesn't Kill You) - Kelly Clarkson,Just Give Me a Reason - Pink featuring Nate Ruess,Rude - Magic!,Blank Space - Taylor Swift,Hello - Adele,Closer - The Chainsmokers featuring Halsey,"I Like It - Cardi B, Bad Bunny and J Balvin",7 Rings - Ariana Grande,Life Is Good - Future featuring Drake,Leave the Door Open - Silk Sonic (Bruno Mars and Anderson .Paak),Big Energy - Latto,Die for You - The Weeknd and Ariana Grande,Espresso - Sabrina Carpenter
Amazed - Lonestar,Thank You - Dido,What's Luv? - Fat Joe featuring Ashanti,Miss You - Aaliyah,Hey Ya! - OutKast,Candy Shop - 50 Cent featuring Olivia,Ridin' - Chamillionaire featuring Krayzie Bone,I Wanna Love You - Akon featuring Snoop Dogg,Love in This Club - Usher featuring Young Jeezy,Single Ladies (Put a Ring on It) - Beyoncé,Bad Romance - Lady Gaga,Super Bass - Nicki Minaj,We Found Love - Rihanna featuring Calvin Harris,When I Was Your Man - Bruno Mars,All About That Bass - Meghan Trainor,Watch Me - Silentó,Don't Let Me Down - The Chainsmokers featuring Daya,Body Like a Back Road - Sam Hunt,"The Middle - Zedd, Maren Morris and Grey",Talk - Khalid,Memories - Maroon 5,Drivers License - Olivia Rodrigo,Ghost - Justin Bieber,Fast Car - Luke Combs,Million Dollar Baby - Tommy Richman
Bent - Matchbox Twenty,Again - Lenny Kravitz,U Got It Bad - Usher,Picture - Kid Rock featuring Sheryl Crow,Goodies - Ciara featuring Petey Pablo,Don't Cha - The Pussycat Dolls featuring Busta Rhymes,SexyBack - Justin Timberlake featuring Timbaland,Say It Right - Nelly Furtado,With You - Chris Brown,Heartless - Kanye West,Dynamite - Taio Cruz,Moves like Jagger - Maroon 5 featuring Christina Aguilera,Starships - Nicki Minaj,Cruise - Florida Georgia Line featuring Nelly,Problem - Ariana Grande featuring Iggy Azalea,Earned It - The Weeknd,Can't Stop the Feeling! - Justin Timberlake,Believer - Imagine Dragons,In My Feelings - Drake,Sicko Mode - Travis Scott,The Bones - Maren Morris,Montero (Call Me by Your Name) - Lil Nas X,Super Gremlin - Kodak Black,Snooze - SZA,I Remember Everything - Zach Bryan featuring Kacey Musgraves
He Wasn't Man Enough - Toni Braxton,Independent Women Part I - Destiny's Child,Blurry - Puddle of Mudd,Bring Me to Life - Evanescence featuring Paul McCoy,Lean Back - Terror Squad featuring Fat Joe and Remy Ma,Behind These Hazel Eyes - Kelly Clarkson,Check on It - Beyoncé featuring Slim Thug and Bun B,Glamorous - Fergie featuring Ludacris,Forever - Chris Brown,Gives You Hell - The All-American Rejects,Break Your Heart - Taio Cruz featuring Ludacris,Just Can't Get Enough - The Black Eyed Peas,What Makes You Beautiful - One Direction,Roar - Katy Perry,Stay with Me - Sam Smith,The Hills - The Weeknd,Closer - The Chainsmokers featuring Halsey,Congratulations - Post Malone featuring Quavo,Girls Like You - Maroon 5 featuring Cardi B,Sucker - Jonas Brothers,Someone You Loved - Lewis Capaldi,Peaches - Justin Bieber featuring Daniel Caesar and Giveon,Cold Heart (Pnau Remix) - Elton John and Dua Lipa,I'm Good (Blue) - David Guetta and Bebe Rexha,Too Sweet - Hozier
Higher - Creed,Hit 'Em Up Style (Oops!) - Blu Cantrell,Complicated - Avril Lavigne,Get Low - Lil Jon & The East Side Boyz featuring Ying Yang Twins,Tipsy - J-Kwon,Disco Inferno - 50 Cent,Be Without You - Mary J. Blige,Don't Matter - Akon,Sexy Can I - Ray J featuring Yung Berg,You Belong with Me - Taylor Swift,Nothin' on You - B.o.B featuring Bruno Mars,On the Floor - Jennifer Lopez featuring Pitbull,Wild Ones - Flo Rida featuring Sia,Locked Out of Heaven - Bruno Mars,Timber - Pitbull featuring Kesha,Cheerleader (Felix Jaehn Remix) - OMI,Cheap Thrills - Sia featuring Sean Paul,Say You Won't Let Go - James Arthur,Nice for What - Drake,High Hopes - Panic! at the Disco,Say So - Doja Cat,Butter - BTS,Wait for U - Future featuring Drake and Tems,Unholy - Sam Smith and Kim Petras,Stick Season - Noah Kahan
Try Again - Aaliyah,It Wasn't Me - Shaggy featuring Rikrok,Always on Time - Ja Rule featuring Ashanti,Baby Boy - Beyoncé featuring Sean Paul,Confessions Part II - Usher,You and Me - Lifehouse,Grillz - Nelly featuring Paul Wall and Ali & Gipp,Girlfriend - Avril Lavigne,Take a Bow - Rihanna,Dead and Gone - T.I. featuring Justin Timberlake,I Like It - Enrique Iglesias featuring Pitbull,S&M - Rihanna,Set Fire to the Rain - Adele,Ho Hey - The Lumineers,Pompeii - Bastille,Can't Feel My Face - The Weeknd,7 Years - Lukas Graham,"I'm the One - DJ Khaled featuring Justin Bieber, Quavo, Chance the Rapper and Lil Wayne",Lucid Dreams - Juice Wrld,"Thank U, Next - Ariana Grande",I Hope - Gabby Barrett featuring Charlie Puth,Stay - The Kid Laroi and Justin Bieber,About Damn Time - Lizzo,You Proof - Morgan Wallen,Cruel Summer - Taylor Swift
"Jumpin', Jumpin' - Destiny's Child",Stutter - Joe featuring Mystikal,Ain't It Funny (Murder Remix) - Jennifer Lopez featuring Ja Rule,"Shake Ya Tailfeather - Nelly, P. Diddy and Murphy Lee",Slow Motion - Juvenile featuring Soulja Slim,Don't Phunk with My Heart - The Black Eyed Peas,Over My Head (Cable Car) - The Fray,Makes Me Wonder - Maroon 5,Viva la Vida - Coldplay,You Found Me - The Fray,BedRock - Young Money featuring Lloyd,Pumped Up Kicks - Foster the People,Sexy and I Know It - LMFAO,Stay - Rihanna featuring Mikky Ekko,Shake It Off - Taylor Swift,Love Me Like You Do - Ellie Goulding,Needed Me - Rihanna,XO Tour Llif3 - Lil Uzi Vert,Better Now - Post Malone,Truth Hurts - Lizzo,"Whats Poppin - Jack Harlow featuring DaBaby, Tory Lanez and Lil Wayne",Deja Vu - Olivia Rodrigo,Bad Habits - Ed Sheeran,Something in the Orange - Zach Bryan,Greedy - Tate McRae
Thong Song - Sisqó,It's Been Awhile - Staind,The Middle - Jimmy Eat World,21 Questions - 50 Cent featuring Nate Dogg,Freek-a-Leek - Petey Pablo,Lose Control - Missy Elliott featuring Ciara and Fatman Scoop,Me & U - Cassie,Party Like a Rockstar - Shop Boyz,I Kissed a Girl - Katy Perry,Use Somebody - Kings of Leon,In My Head - Jason Derulo,Last Friday Night (T.G.I.F.) - Katy Perry,Some Nights - Fun,Get Lucky - Daft Punk featuring Pharrell Williams,Am I Wrong - Nico & Vinz,Take Me to Church - Hozier,My House - Flo Rida,Mask Off - Future,Finesse - Bruno Mars featuring Cardi B,Dancing with a Stranger - Sam Smith and Normani,Dance Monkey - Tones and I,Positions - Ariana Grande,Thats What I Want - Lil Nas X,Rich Flex - Drake and 21 Savage,"Like That - Future, Metro Boomin and Kendrick Lamar"
Kryptonite - 3 Doors Down,U Remind Me - Usher,I Need a Girl (Part One) - P. Diddy featuring Usher and Loon,All I Have - Jennifer Lopez featuring LL Cool J,Here Without You - 3 Doors Down,Shake It Off - Mariah Carey,Buttons - Pussycat Dolls featuring Snoop Dogg,Smack That - Akon featuring Eminem,Whatever You Like - T.I.,Knock You Down - Keri Hilson featuring Kanye West and Ne-Yo,Rude Boy - Rihanna,Just the Way You Are - Bruno Mars,Wide Awake - Katy Perry,Royals - Lorde,Turn Down for What - DJ Snake and Lil Jon,Bad Blood - Taylor Swift featuring Kendrick Lamar,I Took a Pill in Ibiza - Mike Posner,Unforgettable - French Montana featuring Swae Lee,Boo'd Up - Ella Mai,Señorita - Shawn Mendes and Camila Cabello,Savage - Megan Thee Stallion featuring Beyoncé,Bad Habits - Ed Sheeran,Enemy - Imagine Dragons and JID,As It Was - Harry Styles,Birds of a Feather - Billie Eilish
There You Go - Pink,Where the Party At - Jagged Edge with Nelly,U Don't Have to Call - Usher,Beautiful - Christina Aguilera,Slow Jamz - Twista featuring Kanye West and Jamie Foxx,Mr. Brightside - The Killers,Run It! - Chris Brown featuring Juelz Santana,This Is Why I'm Hot - Mims,Disturbia - Rihanna,Blame It - Jamie Foxx featuring T-Pain,Telephone - Lady Gaga featuring Beyoncé,Tonight (I'm Lovin' You) - Enrique Iglesias featuring Ludacris and DJ Frank E,Good Feeling - Flo Rida,I Knew You Were Trouble. - Taylor Swift,The Monster - Eminem featuring Rihanna,Lean On - Major Lazer and DJ Snake featuring MØ,Work from Home - Fifth Harmony featuring Ty Dolla Sign,24K Magic - Bruno Mars,New Rules - Dua Lipa,I Don't Care - Ed Sheeran and Justin Bieber,Roxanne - Arizona Zervas,Heat Waves - Glass Animals,Industry Baby - Lil Nas X and Jack Harlow,Rock and a Hard Place - Bailey Zimmerman,Please Please Please - Sabrina Carpenter
Music - Madonna,Angel - Shaggy featuring Rayvon,Family Affair - Mary J. Blige,I Know What You Want - Busta Rhymes and Mariah Carey featuring Flipmode Squad,Someday - Nickelback,Just a Lil Bit - 50 Cent,So Sick - Ne-Yo,It's Not Over - Daughtry,Don't Stop the Music - Rihanna,I Know You Want Me (Calle Ocho) - Pitbull,Teenage Dream - Katy Perry,Raise Your Glass - Pink,Whistle - Flo Rida,We Can't Stop - Miley Cyrus,Say Something - A Great Big World and Christina Aguilera,Want to Want Me - Jason Derulo,This Is What You Came For - Calvin Harris featuring Rihanna,Stay - Zedd and Alessia Cara,Sad! - XXXTentacion,"Eastside - Benny Blanco, Halsey and Khalid",Intentions - Justin Bieber featuring Quavo,Without You - The Kid Laroi,ABCDEFU - Gayle,Under the Influence - Chris Brown,Agora Hills - Doja Cat
Doesn't Really Matter - Janet Jackson,Ride wit Me - Nelly featuring City Spud,"I Need a Girl (Part Two) - P. Diddy featuring Ginuwine, Loon and Mario Winans",I'm with You - Avril Lavigne,Naughty Girl - Beyoncé,Pon de Replay - Rihanna,It's Goin' Down - Yung Joc featuring Nitti,The Way I Are - Timbaland featuring Keri Hilson,Pocketful of Sunshine - Natasha Bedingfield,Live Your Life - T.I. featuring Rihanna,Just the Way You Are - Bruno Mars,Born This Way - Lady Gaga,One More Night - Maroon 5,Wrecking Ball - Miley Cyrus,Team - Lorde,Shake It Off - Taylor Swift,Cake by the Ocean - DNCE,Wild Thoughts - DJ Khaled featuring Rihanna and Bryson Tiller,Never Be the Same - Camila Cabello,Going Bad - Meek Mill featuring Drake,Everything I Wanted - Billie Eilish,Forever After All - Luke Combs,Need to Know - Doja Cat,Cruel Summer - Taylor Swift,"Good Luck, Babe! - Chappell Roan"
What a Girl Wants - Christina Aguilera,Follow Me - Uncle Kracker,Gangsta Lovin' - Eve featuring Alicia Keys,Drift Away - Uncle Kracker featuring Dobie Gray,My Immortal - Evanescence,How We Do - The Game featuring 50 Cent,SOS - Rihanna,Fergalicious - Fergie featuring will.i.am,Kiss Kiss - Chris Brown featuring T-Pain,Kiss Me thru the Phone - Soulja Boy Tell 'Em featuring Sammie,Cooler Than Me - Mike Posner,Fuckin' Perfect - Pink,Drive By - Train,Wake Me Up - Avicii,Let Her Go - Passenger,Where Are Ü Now - Skrillex and Diplo (Jack Ü) featuring Justin Bieber,"Me, Myself & I - G-Eazy and Bebe Rexha",Black Beatles - Rae Sremmurd featuring Gucci Mane,Love Lies - Khalid and Normani,Shallow - Lady Gaga and Bradley Cooper,Roses (Imanbek remix) - Saint Jhn,Go Crazy - Chris Brown and Young Thug,Wasted on You - Morgan Wallen,Thinkin' Bout Me - Morgan Wallen,Saturn - SZA
Back at One - Brian McKnight,Peaches & Cream - 112,My Sacrifice - Creed,Magic Stick - Lil' Kim featuring 50 Cent,Sunshine - Lil' Flip featuring Lea,Beverly Hills - Weezer,I Write Sins Not Tragedies - Panic! at the Disco,Crank That (Soulja Boy) - Soulja Boy Tell 'Em,Closer - Ne-Yo,Down - Jay Sean featuring Lil Wayne,Imma Be - The Black Eyed Peas,What's My Name? - Rihanna featuring Drake,The Motto - Drake featuring Lil Wayne,Suit & Tie - Justin Timberlake featuring Jay-Z,Royals - Lorde,Fight Song - Rachel Platten,Ride - Twenty One Pilots,Starboy - The Weeknd featuring Daft Punk,No Tears Left to Cry - Ariana Grande,Better - Khalid,Watermelon Sugar - Harry Styles,Astronaut in the Ocean - Masked Wolf,Me Porto Bonito - Bad Bunny and Chencho Corleone,Boy's a Liar Pt. 2 - PinkPantheress and Ice Spice,Snooze - SZA
Bye Bye Bye - NSYNC,Drive - Incubus,Without Me - Eminem,P.I.M.P. - 50 Cent,Dirt off Your Shoulder - Jay-Z,Oh - Ciara featuring Ludacris,Move Along - The All-American Rejects,Give It to Me - Timbaland featuring Nelly Furtado and Justin Timberlake,Bubbly - Colbie Caillat,The Climb - Miley Cyrus,Empire State of Mind - Jay-Z featuring Alicia Keys,Look at Me Now - Chris Brown featuring Lil Wayne and Busta Rhymes,Where Have You Been - Rihanna,Cups (Pitch Perfect's When I'm Gone) - Anna Kendrick,Let It Go - Idina Menzel,679 - Fetty Wap featuring Remy Boyz,Heathens - Twenty One Pilots,Location - Khalid,Mine - Bazzi,No Guidance - Chris Brown featuring Drake,Before You Go - Lewis Capaldi,34+35 - Ariana Grande featuring Doja Cat and Megan Thee Stallion,Woman - Doja Cat,Favorite Song - Toosii,Paint the Town Red - Doja Cat
You Sang to Me - Marc Anthony,What Would You Do? - City High,Hero - Enrique Iglesias,"Bump, Bump, Bump - B2K and P. Diddy",Move Ya Body - Nina Sky featuring Jabba,Lonely No More - Rob Thomas,London Bridge - Fergie,What Goes Around... Comes Around - Justin Timberlake,Touch My Body - Mariah Carey,Best I Ever Had - Drake,DJ Got Us Fallin' in Love - Usher featuring Pitbull,Down on Me - Jeremih featuring 50 Cent,Everybody Talks - Neon Trees,Holy Grail - Jay-Z featuring Justin Timberlake,Wake Me Up - Avicii,Lips Are Movin - Meghan Trainor,Pillowtalk - Zayn,Attention - Charlie Puth,Thunder - Imagine Dragons,Girls Like You - Maroon 5 featuring Cardi B,Falling - Trevor Daniel,What You Know Bout Love - Pop Smoke,Tití Me Preguntó - Bad Bunny,Thought You Should Know - Morgan Wallen,Fortnight - Taylor Swift featuring Post Malone
I Need to Know - Marc Anthony,Survivor - Destiny's Child,All You Wanted - Michelle Branch,Into You - Fabolous featuring Tamia,Dip It Low - Christina Milian,Drop It Like It's Hot - Snoop Dogg featuring Pharrell,Dani California - Red Hot Chili Peppers,Cupid's Chokehold - Gym Class Heroes featuring Patrick Stump,4 Minutes - Madonna featuring Justin Timberlake and Timbaland,My Life Would Suck Without You - Kelly Clarkson,Billionaire - Travie McCoy featuring Bruno Mars,How to Love - Lil Wayne,Take Care - Drake featuring Rihanna,Scream & Shout - will.i.am featuring Britney Spears,Demons - Imagine Dragons,Worth It - Fifth Harmony featuring Kid Ink,Stitches - Shawn Mendes,There's Nothing Holdin' Me Back - Shawn Mendes,Look Alive - BlocBoy JB featuring Drake,Sweet but Psycho - Ava Max,"10,000 Hours - Dan + Shay and Justin Bieber",My Ex's Best Friend - Machine Gun Kelly featuring Blackbear,Running Up That Hill (A Deal with God) - Kate Bush,Thank God - Kane Brown and Katelyn Brown,Fast Car - Luke Combs
Get It On Tonite - Montell Jordan,"Lady Marmalade - Christina Aguilera, Lil' Kim, Mýa and Pink",Get the Party Started - Pink,Can't Let You Go - Fabolous featuring Lil' Mo and Mike Shorey,My Boo - Usher and Alicia Keys,Hate It or Love It - The Game featuring 50 Cent,Snap Yo Fingers - Lil Jon featuring E-40 and Sean Paul,How to Save a Life - The Fray,So What - Pink,Halo - Beyoncé,Not Afraid - Eminem,Someone Like You - Adele,Titanium - David Guetta featuring Sia,Clarity - Zedd featuring Foxes,Story of My Life - One Direction,Post to Be - Omarion featuring Chris Brown and Jhené Aiko,Hotline Bling - Drake,Bodak Yellow - Cardi B,Delicate - Taylor Swift,Suge - DaBaby,WAP - Cardi B featuring Megan Thee Stallion,Industry Baby - Lil Nas X and Jack Harlow,"We Don't Talk About Bruno - Carolina Gaitán, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz and the Encanto cast",Sure Thing - Miguel,Water - Tyla
Incomplete - Sisqó,Ms. Jackson - Outkast,Hero - Chad Kroeger featuring Josey Scott,Mesmerize - Ja Rule featuring Ashanti,One Call Away - Chingy featuring J-Weav,Lovers & Friends - Lil Jon & the East Side Boyz featuring Usher and Ludacris,"Lean wit It, Rock wit It - Dem Franchize Boyz featuring Peanut and Charlay",Home - Daughtry,Paralyzer - Finger Eleven,Hot n Cold - Katy Perry,Replay - Iyaz,Good Life - OneRepublic,I Won't Give Up - Jason Mraz,Sail - Awolnation,Chandelier - Sia,"Honey, I'm Good. - Andy Grammer",Cold Water - Major Lazer featuring Justin Bieber and MØ,Redbone - Childish Gambino,Yes Indeed - Lil Baby and Drake,Middle Child - J. Cole,Ballin' - Mustard and Roddy Ricch,Therefore I Am - Billie Eilish,Late Night Talking - Harry Styles,All My Life - Lil Durk featuring J. Cole,Feather - Sabrina Carpenter
